Country Name,Country Code,Series Name,,1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Germany,DEU,GDP growth (annual %),,4.949258435,3.34721808,3.008492888,4.150363338,1.408828644,0.529240542,-0.394840736,1.572410142,2.822947836,2.327935201,2.287339259,1.402151588,3.70723568,3.896551706,5.255006101,5.108261502,2.013613409,-0.973033082,2.596855697,1.504993842,1.037875567,1.854322384,2.095612312,2.129570163,2.876523125,1.636141707,-0.228255716,-0.529801394,1.162086845,0.885485293,3.866682415,2.889117414,0.887902331,-5.544554519,4.134637785,3.757968845,0.463512037,0.396995584,2.180186022,1.663006023,2.222222163,2.797906721,1.135696046,0.977734697,-4.131914432,3.909999942,1.809258124,-0.869647579,-0.495851897,..
Germany,DEU,Gross savings (% of GDP),,20.91833904,20.62822192,21.52272028,20.97662771,19.76197165,18.399427,18.70849437,19.2737211,19.88907313,20.68160554,22.18195819,21.35174797,22.52089282,23.5216723,24.76364297,24.37042568,23.95756254,22.86324498,23.00875242,23.42399167,22.98597748,23.07079371,23.52386684,22.54980666,22.39619756,22.56424663,22.10152797,21.07284437,23.54144318,23.37559527,25.7235524,27.47272329,26.46361516,23.7954492,25.24688237,27.54990983,26.65620558,26.51208318,27.38938305,27.62473916,28.65479798,28.65663195,30.00753247,29.26512621,28.02079545,29.51324064,27.02610563,27.60398508,27.14190098,..
Germany,DEU,"Inflation, GDP deflator (annual %)",,3.306194459,3.100718194,3.545841819,4.278140607,5.451189434,4.175238758,4.581058612,2.807938532,1.989146293,2.124725736,2.999543135,1.279663573,1.690461303,2.879066715,3.396643515,3.085079757,5.310914077,3.784893662,1.943698872,1.835677815,0.464204193,0.145509781,0.692367198,0.5743984,-0.34311256,1.433388012,1.49925333,1.321651681,1.155340668,0.534527731,0.436413949,1.840534703,0.95475833,1.973002674,0.699760025,1.22973444,1.436336228,1.995698881,1.894704167,1.74443989,1.254244852,1.476614256,1.870859539,2.009291227,1.757452902,2.696778401,6.413159108,6.691123895,3.110277421,..
Germany,DEU,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.512,5.972,7.672,8.96,8.464,9.63,10.666,9.79,8.883,8.545,7.787,9.285,11.024,12.984,15.463,13.402,11.824,10.929,11.309,10.416,8.927,8.119,7.825,7.612,7.328,7.079,6.77,6.22,5.859,7.862,6.665,6.049,6.02,6.604,6.862
Germany,DEU,"Unemployment, male (% of male labor force) (national estimate)",,..,..,..,..,..,..,..,5.754,5.657,5.826,5.54,6.089,5.275,4.538,4.038,4.423,4.911,6.461,7.542,7.053,8.239,9.306,9.289,8.559,7.64,7.768,8.696,10.181,11.251,11.398,10.279,8.698,7.329,8.211,7.423,6.191,5.496,5.598,5.282,4.963,4.434,4.181,3.799,3.542,4.223,3.987,3.368,3.258,3.586,..
Germany,DEU,"Unemployment, female (% of female labor force) (national estimate)",,..,..,..,..,..,..,..,7.534,8.243,8.469,8.23,7.918,7.902,7.47,6.119,6.524,8.225,9.32,10.316,9.628,9.592,10.589,10.436,9.235,8.27,7.78,8.214,9.282,10.078,10.941,10.273,8.772,7.723,7.488,6.594,5.708,5.226,4.99,4.631,4.206,3.723,3.316,2.903,2.725,3.488,3.14,2.872,2.858,3.129,..
Brazil,BRA,Broad money (% of GDP),,15.30022331,14.52078666,14.56909626,15.29884068,11.76865071,11.52991524,10.46821043,10.98583302,12.78522219,14.36891681,20.87996256,20.65932161,80.44763566,111.3253039,30.39451422,35.02960132,60.93240882,93.65884647,45.4613038,32.44854688,35.11848156,36.96512905,39.33173174,42.81105421,46.48658781,58.63617172,55.00498217,56.5263638,56.33206511,60.13304446,63.24977948,68.35919863,70.48945297,76.09041944,74.21938014,76.82527514,79.05286203,78.62652781,81.90656401,88.06962765,93.82113793,93.0595992,93.71303403,96.05785043,109.1542171,103.4656345,104.3022143,110.1845393,116.3945646,..
Brazil,BRA,"Inflation, consumer prices (annual %)",,..,..,..,..,..,101.725073,100.5433592,135.0276822,192.1217331,225.9896652,147.1428262,228.3361626,629.1145091,1430.723725,2947.732772,432.7866619,951.9620531,1927.38079,2075.888398,66.00703355,15.7576656,6.926712516,3.195076293,4.858447499,7.044141059,6.840359025,8.450164377,14.71491972,6.5971851,6.869537209,4.183568129,3.641272991,5.678593903,4.888034799,5.038726901,6.636449622,5.40349914,6.204310666,6.329040155,9.029901024,8.739143523,3.44637335,3.664850284,3.732976212,3.211768038,8.301659756,9.28010609,4.593562823,4.367464077,..
Brazil,BRA,"Unemployment, total (% of total labor force) (national estimate)",,1.92,2.32,2.36,2.76,..,3.99,4.83,4.62,4.04,3.38,2.37,3.56,3.79,4.145,4.703,..,7.086,6.03,..,7.092,8.035,9.003,10.15,11.125,..,10.649,10.641,11.168,10.072,10.551,9.692,9.28,8.268,9.419,..,7.578,7.251,7.071,6.755,8.538,11.58,12.792,12.329,11.936,13.697,13.158,9.231,7.947,6.801,..
Brazil,BRA,GDP (current US$),,1.53169E+11,1.76344E+11,2.00279E+11,2.21338E+11,2.37393E+11,2.58015E+11,2.71314E+11,1.89657E+11,1.8834E+11,2.1088E+11,2.56481E+11,2.83057E+11,3.07882E+11,4.12991E+11,3.90726E+11,3.42609E+11,3.28188E+11,3.68296E+11,5.2537E+11,7.69333E+11,8.50426E+11,8.83206E+11,8.63711E+11,5.99642E+11,6.55448E+11,5.59984E+11,5.09795E+11,5.58234E+11,6.69289E+11,8.91634E+11,1.10763E+12,1.39711E+12,1.69586E+12,1.667E+12,2.20884E+12,2.61616E+12,2.46523E+12,2.47282E+12,2.45604E+12,1.80221E+12,1.79569E+12,2.06351E+12,1.91693E+12,1.87329E+12,1.47611E+12,1.67065E+12,1.95192E+12,2.19113E+12,2.18582E+12,..
